"name","humanDevelopmentIndex","pop2020"
"Gambia","0.4600","2416.6680"
"Guinea","0.4590","13132.7950"
"DR Congo","0.4570","89561.4030"
"Guinea-Bissau","0.4550","1968.0010"
"Yemen","0.4520","29825.9640"
"Eritrea","0.4400","3546.4210"
"Mozambique","0.4370","31255.4350"
"Liberia","0.4350","5057.6810"
"Mali","0.4270","20250.8330"
"Burkina Faso","0.4230","20903.2730"
"Sierra Leone","0.4190","7976.9830"
"Burundi","0.4170","11890.7840"
"Chad","0.4040","16425.8640"
"South Sudan","0.3880","11193.7250"
"Central African Republic","0.3670","4829.7670"
"Niger","0.3540","24206.6440"
"Tuvalu",0,"11.7920"
"Somalia",0,"15893.2220"
